q,index,sigma
211,138,0.02680973577958465
211,139,0.026809735779584648
211,140,0.026809735779584645
211,141,0.02680973577958464
211,142,0.026809735779584634
211,143,0.026809735779584634
211,144,0.02680973577958463
211,145,0.02680973577958463
211,146,0.02680973577958463
211,147,0.02680973577958463
211,148,0.026809735779584627
211,149,0.026809735779584627
211,150,0.026809735779584624
211,151,0.02680973577958462
211,152,0.02680973577958462
211,153,0.026809735779584617
211,154,0.026809735779584617
211,155,0.026809735779584613
211,156,0.02680973577958461
211,157,0.02680973577958461
211,158,0.026809735779584606
211,159,0.026809735779584603
211,160,0.026809735779584596
211,161,0.026809735779584596
211,162,0.02680973577958459
211,163,0.026809735779584586
211,164,0.026809735779584586
211,165,0.026809735779584586
211,166,0.026809735779584582
211,167,0.02680973577958458
211,168,0.026809735779584575
211,169,0.02680973577958457
211,170,0.02680973577958457
211,171,0.026809735779584568
211,172,0.026809735779584565
211,173,0.02680973577958456
211,174,0.026809735779584558
211,175,0.026809735779584547
211,176,0.026809735779584547
211,177,0.026809735779584544
211,178,0.026809735779584544
211,179,0.026809735779584544
211,180,0.026809735779584537
211,181,0.026809735779584534
211,182,0.026809735779584534
211,183,0.026809735779584527
211,184,0.026809735779584523
211,185,0.026809735779584513
211,186,0.026809735779584513
211,187,0.02680973577958451
211,188,0.026809735779584506
211,189,0.0268097357795845
211,190,0.0268097357795845
211,191,0.026809735779584495
211,192,0.026809735779584485
211,193,0.02680973577958448
211,194,0.02680973577958448
