q,index,sigma
211,34,5.960774903375225e-07
211,35,5.879496760339178e-07
211,36,5.761040515137118e-07
211,37,5.347681268967312e-07
211,38,5.340655779388332e-07
211,39,4.886633827600426e-07
211,40,4.6302456943409727e-07
211,41,4.5166546187650124e-07
211,42,4.397887979466133e-07
211,43,4.3019582089895967e-07
211,44,4.0681786453401035e-07
211,45,4.01405474969861e-07
211,46,3.829984155131236e-07
211,47,3.789579035398209e-07
211,48,3.639886960154765e-07
211,49,3.5735356299991065e-07
211,50,3.5010173435041063e-07
211,51,3.4471967691829496e-07
211,52,3.3837421231023033e-07
211,53,3.336314143958722e-07
211,54,3.215578471555962e-07
211,55,3.2077000205223063e-07
211,56,3.034447226208088e-07
211,57,3.0185882862571273e-07
211,58,2.97374728589658e-07
211,59,2.961078857635053e-07
211,60,2.872856440230001e-07
211,61,2.8446222336665246e-07
211,62,2.814135458347167e-07
211,63,2.8123936819620775e-07
211,64,2.6461462884428463e-07
211,65,2.632136319668238e-07
211,66,2.576152292800765e-07
211,67,2.4904151155258935e-07
211,68,2.4442491142125637e-07
211,69,2.434222665943408e-07
211,70,2.4041413126909884e-07
211,71,2.2863680623813944e-07
211,72,2.2579554789533965e-07
211,73,2.2422354889655625e-07
211,74,2.233474677998156e-07
211,75,2.1338707417824012e-07
211,76,2.0151389505246827e-07
211,77,1.9982370411611293e-07
211,78,1.9161201765697354e-07
211,79,1.8991532034778714e-07
211,80,1.7650085404729112e-07
211,81,1.684756708205246e-07
211,82,1.5729889673948616e-07
211,83,1.5341549114518953e-07
211,84,1.5260960606405405e-07
211,85,1.501408333145659e-07
211,86,1.4483419189544794e-07
211,87,1.4423906755916025e-07
211,88,1.1279166143135891e-07
211,89,1.0710982422081258e-07
211,90,1.0124597256622662e-07
211,91,1.0042594366980522e-07
211,92,9.988520619066144e-08
211,93,9.814231017012713e-08
211,94,8.111015471983968e-08
211,95,7.019543778931567e-08
211,96,5.018159996075746e-08
211,97,3.7557548655257924e-08
211,98,2.5909105056627988e-08
211,99,0.0
211,100,0.0
211,101,0.0
211,102,0.0
211,103,0.0
211,104,0.0
211,105,0.0
211,106,0.0
211,107,0.0
211,108,0.0
211,109,0.0
211,110,0.0
211,111,0.0
211,112,0.0
211,113,0.0
211,114,0.0
211,115,0.0
211,116,0.0
211,117,0.0
211,118,0.0
211,119,0.0
211,120,0.0
211,121,0.0
211,122,0.0
211,123,0.0
211,124,0.0
211,125,0.0
211,126,0.0
211,127,0.0
211,128,0.0
211,129,0.0
211,130,0.0
211,131,0.0
211,132,0.0
211,133,0.0
211,134,0.0
211,135,0.0
211,136,0.0
211,137,0.0
211,138,0.0
211,139,0.0
211,140,0.0
211,141,0.0
211,142,0.0
211,143,0.0
211,144,0.0
211,145,0.0
211,146,0.0
211,147,0.0
211,148,0.0
211,149,0.0
211,150,0.0
211,151,0.0
211,152,0.0
211,153,0.0
211,154,0.0
211,155,0.0
211,156,0.0
211,157,0.0
211,158,0.0
211,159,0.0
211,160,0.0
211,161,0.0
211,162,0.0
211,163,0.0
211,164,0.0
211,165,0.0
211,166,0.0
211,167,0.0
211,168,0.0
211,169,0.0
211,170,0.0
211,171,0.0
211,172,0.0
211,173,0.0
211,174,0.0
211,175,0.0
211,176,0.0
211,177,0.0
211,178,0.0
211,179,0.0
211,180,0.0
211,181,0.0
211,182,0.0
211,183,0.0
211,184,0.0
211,185,0.0
211,186,0.0
211,187,0.0
211,188,0.0
211,189,0.0
211,190,0.0
211,191,0.0
211,192,0.0
211,193,0.0
211,194,0.0
211,195,0.0
211,196,0.0
211,197,0.0
211,198,0.0
211,199,0.0
211,200,0.0
211,201,0.0
211,202,0.0
211,203,0.0
211,204,0.0
211,205,0.0
211,206,0.0
211,207,0.0
211,208,0.0
211,209,0.0
211,210,0.0
